Nom_valide,Nom_français,Règne,Classe,Ordre,Famille,CD_REF,CD_NOM
"Acacia dealbata Link, 1822","Mimosa argente, Mimosa des fleuristes, Mimosa de Bormes, Mimosa d'hiver, Acacia argente",Plantae (Plantes),Equisetopsida (Equisetopsides),Fabales (Fabales),Fabaceae (Fabacees),79691,79691
"Acacia mearnsii De Wild., 1925","Mimosa de Mearns, Mimosa argente, Mimosa vert, Acacia de Mearns",Plantae (Plantes),Equisetopsida (Equisetopsides),Fabales (Fabales),Fabaceae (Fabacees),79700,79700
"Acacia saligna (Labill.) H.L.Wendl., 1820","Mimosa a feuilles de Saule, Mimosa a feuilles bleues",Plantae (Plantes),Equisetopsida (Equisetopsides),Fabales (Fabales),Fabaceae (Fabacees),79710,79710
"Acer negundo L., 1753","Erable negundo, Erable frene, Erable a feuilles de frene, Erable Negondo",Plantae (Plantes),Equisetopsida (Equisetopsides),Sapindales (Sapindales),Sapindaceae (Sapindacees),79766,79766
"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",Acrochaetium de Preiss,Plantae (Plantes),Florideophyceae,Ceramiales,Ceramiaceae,369355,369355
"Ailanthus altissima (Mill.) Swingle, 1916","Ailante glanduleux, Faux vernis du Japon, Ailante, Ailanthe",Plantae (Plantes),Equisetopsida (Equisetopsides),Sapindales (Sapindales),Simaroubaceae (Simaroubacees),80824,80824
"Aleurocanthus spiniferus (Quaintance, 1903)",Aleurode du citronnier,Animalia (Animaux),Insecta (Insectes),"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)",Aleyrodidae,845923,845923
"Ambrosia artemisiifolia L., 1753","Ambroisie a feuilles d'armoise, Ambroise elevee, Ambroisie annuelle",Plantae (Plantes),Equisetopsida (Equisetopsides),Asterales (Asterales),Asteraceae (Asteracees),82080,82080
"Ameiurus melas (Rafinesque, 1820)",Poisson-chat,Animalia (Animaux),"Actinopterygii (Actinopterygiens, Poissons actinopterygiens)",Siluriformes (Poissons-chats),Ictaluridae,67571,67571
"Amorpha fruticosa L., 1753","Amorphe arbustive, Indigo du Bush, Amorphe buissonnante, Faux indigo",Plantae (Plantes),Equisetopsida (Equisetopsides),Fabales (Fabales),Fabaceae (Fabacees),82164,82164
"Amphibalanus improvisus (Darwin, 1854)","Balane imprevue (La), Balane bernache (La), Petite balane ivoire (La)",Animalia (Animaux),Hexanauplia,Sessilia,Balanidae,647695,647695
"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Parasite de l'anguille,Animalia (Animaux),Chromadorea,Rhabditida,Anguillicolidae,238725,238725
"Anoplophora glabripennis (Motschulsky, 1854)",Longicorne asiatique,Animalia (Animaux),Insecta (Insectes),Coleoptera (Coleopteres),Cerambycidae (Longicornes),530331,530331
"Aproceros leucopoda Takeuchi, 1939",Tenthrede zigzag de l?Orme,Animalia (Animaux),Insecta (Insectes),Hymenoptera (Hymenopteres),Argidae,897029,897029
"Arcuatula senhousia (Benson, 1842)",Moule asiatique,Animalia (Animaux),Bivalvia (Bivalves),Mytilida,Mytilidae,647654,647654
"Artemisia verlotiorum Lamotte, 1877","Armoise, Herbe chinois, Marie-Therese",Plantae (Plantes),Equisetopsida (Equisetopsides),Asterales (Asterales),Asteraceae (Asteracees),84057,84057
"Asparagopsis armata Harvey, 1855","Asparagopsis a crochets, Harpon de Neptune",Plantae (Plantes),Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,72500,72500
"Austrominius modestus (Darwin, 1854)","Balane croix de Malte (La), Balane de Nouvelle-Zelande (La)",Animalia (Animaux),Hexanauplia,Sessilia,Austrobalanidae,622884,622884
"Azolla filiculoides Lam., 1783","Azolle fausse fougere, Azolla fausse fougere, Fougere d'eau, Azolle fausse filicule",Plantae (Plantes),Equisetopsida (Equisetopsides),Salviniales (Salviniales),Salviniaceae (Salviniacees),85469,85469
"Baccharis halimifolia L., 1753","Baccharis a feuilles d'Halimium, Baccharide a feuilles d'Halimium, Senecon en arbre",Plantae (Plantes),Equisetopsida (Equisetopsides),Asterales (Asterales),Asteraceae (Asteracees),85474,85474
"Bactrocera oleae (Rossi, 1790)","Mouche de l?olive, Mouche de l?olivier",Animalia (Animaux),Insecta (Insectes),"Diptera (Mouches, Moustiques, Cousins)",Tephritidae,653205,653205
"Ballerus sapa (Pallas, 1814)",Breme de Danube,Animalia (Animaux),"Actinopterygii (Actinopterygiens, Poissons actinopterygiens)",Cypriniformes,Leuciscidae,347940,347940
"Bidens frondosa L., 1753","Bident feuille, Bident a fruits noirs, Bident feuillu",Plantae (Plantes),Equisetopsida (Equisetopsides),Asterales (Asterales),Asteraceae (Asteracees),85957,85957
"Bonnemaisonia hamifera Har., 1891","Porte-crochets, Plume epineuse rouge",Plantae (Plantes),Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,72534,72534
"Botrylloides diegensis Ritter & Forsyth, 1917","Botrylle dore, Botrylle de San Diego",Animalia (Animaux),Ascidiacea (Ascidies),Stolidobranchia,Styelidae,837382,837382
"Botrylloides violaceus Oka, 1927",Botrylle violet,Animalia (Animaux),Ascidiacea (Ascidies),Stolidobranchia,Styelidae,647505,647505
"Buddleja davidii Franch., 1887","Buddleia de David, Buddleia du pere David, Arbre-a-papillon, Arbre-aux-papillons",Plantae (Plantes),Equisetopsida (Equisetopsides),Lamiales (Lamiales),Scrophulariaceae (Scrophulariacees),86869,86869
"Bugula neritina (Linnaeus, 1758)",Bugule brune,Animalia (Animaux),Gymnolaemata,Cheilostomatida,Bugulidae,28726,28726
"Cabomba caroliniana A.Gray, 1848",Cabomba de Caroline,Plantae (Plantes),Equisetopsida (Equisetopsides),Nymphaeales (Nympheales),Cabombaceae (Cabombacees),610664,610664
"Cacyreus marshalli Butler, 1898","Brun du pelargonium (Le), Argus des Pelargoniums (L')",Animalia (Animaux),Insecta (Insectes),Lepidoptera (Papillons),Lycaenidae (Lycenes),219796,219796
"Callosciurus erythraeus (Pallas, 1779)",Ecureuil a ventre rouge,Animalia (Animaux),Mammalia (Mammiferes),Rodentia (Rongeurs),"Sciuridae (Ecureuils, Marmottes)",61174,61174
Carpobrotus acinaciformis x Carpobrotus edulis,Hybride entre  le Carpobrote a feuilles en sabre et le Carpobrote doux,Plantae (Plantes),Equisetopsida (Equisetopsides),Caryophyllales (Caryophyllales),Aizoaceae (Aizoacees),610840,610840
