Genre,Famille,Ordre,Classe,Règne,Groupe_Grand_Public,CD_REF,Nom scientifique,CD_NOM
Algyroides,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77580,"Algyroides fitzingeri (Wiegmann, 1834)",77580
Anguis,Anguidae,Squamata,None,Animalia,Amphibiens et reptiles,77490,"Anguis fragilis (Linnaeus, 1758)",77490
Archaeolacerta,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77614,"Archaeolacerta bedriagae (Camerano, 1885)",77614
Caretta,Cheloniidae,Chelonii,None,Animalia,Amphibiens et reptiles,77330,"Caretta caretta (Linnaeus, 1758)",77330
Chalcides,Scincidae,Squamata,None,Animalia,Amphibiens et reptiles,77871,"Chalcides striatus (Cuvier, 1829)",77871
Chelydra,Chelydridae,Chelonii,None,Animalia,Amphibiens et reptiles,199209,"Chelydra serpentina (Linnaeus, 1758)",199209
Coronella,Colubridae,Squamata,None,Animalia,Amphibiens et reptiles,77955,"Coronella austriaca Laurenti, 1768",77955
Coronella,Colubridae,Squamata,None,Animalia,Amphibiens et reptiles,77963,"Coronella girondica (Daudin, 1803)",77963
Coronella,Colubridae,Squamata,None,Animalia,Amphibiens et reptiles,0,"Coronella Laurenti, 1768",0
Dermochelys,Dermochelyidae,Chelonii,None,Animalia,Amphibiens et reptiles,77367,"Dermochelys coriacea (Vandellius, 1761)",77367
Emys,Emydidae,Chelonii,None,Animalia,Amphibiens et reptiles,77381,"Emys orbicularis (Linnaeus, 1758)",77381
Euleptes,Sphaerodactylidae,Squamata,None,Animalia,Amphibiens et reptiles,79271,"Euleptes europaea (Gene, 1839)",79271
Hemidactylus,Gekkonidae,Squamata,None,Animalia,Amphibiens et reptiles,77559,"Hemidactylus turcicus (Linnaeus, 1758)",77559
Hierophis,Colubridae,Squamata,None,Animalia,Amphibiens et reptiles,77949,"Hierophis viridiflavus (Lacepede, 1789)",77949
Iberolacerta,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,79283,"Iberolacerta aranica (Arribas, 1993)",79283
Iberolacerta,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,79284,"Iberolacerta aurelioi (Arribas, 1994)",79284
Iberolacerta,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,79285,"Iberolacerta bonnali (Lantz, 1927)",79285
Lacerta,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77600,"Lacerta agilis Linnaeus, 1758",77600
Lacerta,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77619,"Lacerta bilineata Daudin, 1802",77619
Malpolon,Lamprophiidae,Squamata,None,Animalia,Amphibiens et reptiles,78039,"Malpolon monspessulanus (Hermann, 1804)",78039
Mauremys,Geoemydidae,Chelonii,None,Animalia,Amphibiens et reptiles,77412,"Mauremys leprosa (Schweigger, 1812)",77412
Natrix,Natricidae,Squamata,None,Animalia,Amphibiens et reptiles,816906,"Natrix astreptophora (Seoane, 1884)",816906
Natrix,Natricidae,Squamata,None,Animalia,Amphibiens et reptiles,851676,"Natrix helvetica corsa (Hecht, 1930)",851676
Natrix,Natricidae,Squamata,None,Animalia,Amphibiens et reptiles,851674,"Natrix helvetica (Lacepede, 1789)",851674
Natrix,Natricidae,Squamata,None,Animalia,Amphibiens et reptiles,78048,"Natrix maura (Linnaeus, 1758)",78048
Natrix,Natricidae,Squamata,None,Animalia,Amphibiens et reptiles,851674,"Natrix natrix auct. non (Linnaeus, 1758)",78064
Podarcis,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,444444,"Podarcis liolepis (Boulenger, 1905)",444444
Podarcis,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77756,"Podarcis muralis (Laurenti, 1768)",77756
Podarcis,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77798,"Podarcis siculus campestris Betta, 1857",77798
Podarcis,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77800,"Podarcis siculus cettii (Cara, 1872)",77800
Podarcis,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,444451,"Podarcis siculus (Rafinesque-Schmaltz, 1810)",444451
Podarcis,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77811,"Podarcis tiliguerta (Gmelin, 1789)",77811
Podarcis,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,0,"Podarcis Wagler, 1830",0
Psammodromus,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,77836,"Psammodromus algirus (Linnaeus, 1758)",77836
Psammodromus,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,699479,"Psammodromus edwarsianus (An. Duges, 1829)",699479
Tarentola,Phyllodactylidae,Squamata,None,Animalia,Amphibiens et reptiles,77570,"Tarentola mauritanica (Linnaeus, 1758)",77570
Testudo,Testudinidae,Chelonii,None,Animalia,Amphibiens et reptiles,77428,"Testudo graeca Linnaeus, 1758",77428
Testudo,Testudinidae,Chelonii,None,Animalia,Amphibiens et reptiles,77433,"Testudo hermanni Gmelin, 1789",77433
Timon,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,79273,"Timon lepidus (Daudin, 1802)",79273
Trachemys,Emydidae,Chelonii,None,Animalia,Amphibiens et reptiles,77425,"Trachemys scripta elegans (Wied, 1839)",77425
Trachemys,Emydidae,Chelonii,None,Animalia,Amphibiens et reptiles,77424,"Trachemys scripta (Schoepff, 1792)",77424
Vipera,Viperidae,Squamata,None,Animalia,Amphibiens et reptiles,78135,"Vipera aspis aspis (Linnaeus, 1758)",78135
Vipera,Viperidae,Squamata,None,Animalia,Amphibiens et reptiles,78137,"Vipera aspis zinnikeri Kramer, 1958",78137
Vipera,Viperidae,Squamata,None,Animalia,Amphibiens et reptiles,78130,"Vipera aspis (Linnaeus, 1758)",78130
Vipera,Viperidae,Squamata,None,Animalia,Amphibiens et reptiles,78141,"Vipera berus (Linnaeus, 1758)",78141
Vipera,Viperidae,Squamata,None,Animalia,Amphibiens et reptiles,701823,"Vipera seoanei (Lataste, 1879)",701823
Vipera,Viperidae,Squamata,None,Animalia,Amphibiens et reptiles,78164,"Vipera ursinii (Bonaparte, 1835)",78164
Vipera,Viperidae,Squamata,None,Animalia,Amphibiens et reptiles,0,"Vipera Garsault, 1764",0
Zamenis,Colubridae,Squamata,None,Animalia,Amphibiens et reptiles,444446,"Zamenis longissimus (Laurenti, 1768)",444446
Zamenis,Colubridae,Squamata,None,Animalia,Amphibiens et reptiles,819820,"Zamenis scalaris (Schinz, 1822)",819820
Zootoca,Lacertidae,Squamata,None,Animalia,Amphibiens et reptiles,79278,"Zootoca vivipara (Lichtenstein, 1823)",79278
,None,Squamata,None,Animalia,Amphibiens et reptiles,0,"Colubroidea Oppel, 1811",0
,None,Squamata,None,Animalia,Amphibiens et reptiles,0,"Serpentes Linnaeus, 1758",0
Alytes,Alytidae,Anura,Amphibia,Animalia,Amphibiens et reptiles,197,"Alytes obstetricans (Laurenti, 1768)",197
Bombina,Bombinatoridae,Anura,Amphibia,Animalia,Amphibiens et reptiles,206,"Bombina bombina (Linnaeus, 1761)",206
