Nom_scientifique,Nom_français,Nom_valide,CD_NOM
Aconitum napellus (L.) ssp. neomontanum (Wulfen) Gayer,Aconit casque de Jupiter,"Aconitum napellus subsp. lusitanicum Rouy, 1884",130787
Actaea spicata L.,Actee en epi,"Actaea spicata L., 1753",80137
Allium angulosum L.,Ail anguleux,"Allium angulosum L., 1753",81316
Allium flavum L.,Ail jaune,"Allium flavum L., 1753",81376
Alyssum montanum L.,Alyssum de montagne,"Alyssum montanum L., 1753 [nom. et typ. cons.]",81923
Amelanchier ovalis Medicus,Amelanchier,"Amelanchier ovalis Medik., 1793 subsp. ovalis",131308
Amelanchier ovalis Medicus,Amelanchier,"Amelanchier ovalis Medik., 1793",82103
Anemone ranunculoides L.,Anemone fausse-renoncule,"Anemone ranunculoides L., 1753",82656
Anthericum liliago L.,Phalangere a fleurs de lis,"Anthericum liliago L., 1753",82903
Apium inundatum (L.) Reichenb. fil.,Ache inondee,"Helosciadium inundatum (L.) W.D.J.Koch, 1824",101220
Arenaria grandiflora L.,Sabline a grandes fleurs,"Arenaria grandiflora L., 1759 subsp. grandiflora",131592
Arenaria grandiflora L.,Sabline a grandes fleurs,"Arenaria grandiflora L., 1759",83584
Asarum europaeum L.,Asaret,"Asarum europaeum L., 1753",84230
Asperula tinctoria L.,Asperule des teinturiers,"Asperula tinctoria L., 1753",84330
Asplenium billotti F.W. Schultz,Doradille de Billot,"Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolos, Vigo, Massales & Ninot, 1990",131829
Asplenium forisiense Le Grand,Doradille du Forez,"Asplenium foreziense Le Grand ex Magnier, 1884",923640
Asplenium septentrionale (L.) Hoffm.,Doradille du Nord,"Asplenium septentrionale (L.) Hoffm., 1796 subsp. septentrionale",131846
Asplenium septentrionale (L.) Hoffm.,Doradille du Nord,"Asplenium septentrionale (L.) Hoffm., 1796",84526
Baldellia ranunculoides (L.) Parl.,Fluteau fausse-renoncule,"Baldellia ranunculoides (L.) Parl., 1854",85486
Bidens radiata Thuill.,Bident radie,"Bidens radiata Thuill., 1799",85978
